nom,prix,type,annee,kilometrage,localisation
Volvo VAH,Pas de prix,Car Haulers,2016,453160,"Newnan, Georgia,  US"
Sterling Acterra,Pas de prix,Dump Trucks,2005,293362,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2018,202337,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2015,605747,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,585466,"Lake Worth, Texas,  US"
Isuzu NPR,Pas de prix,Reefer Trucks,2021,303828,"Davenport, Florida,  US"
Freightliner 114SD,Pas de prix,Car Haulers,2015,715010,"Lake Worth, Texas,  US"
GMC Sierra 3500HD,Pas de prix,Flatbed Trucks,2015,266519,"Lake Worth, Texas,  US"
International CF600,Pas de prix,Box trucks,2008,Non spécifié,"Lake Worth, Texas,  US"
Peterbilt 365,"40,000 USD",Car Haulers,2012,Non spécifié,"Lake Worth, Texas,  US"
Ford E-450,"25,000 USD",Flatbed Trucks,2019,Non spécifié,"Lake Worth, Texas,  US"
Freightliner M2 106,"20,000 USD",Flatbed Trucks,2015,Non spécifié,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2012,82660,"Phoenix, Arizona,  US"
Hino 268,Pas de prix,Box trucks,2015,481697,"Perris, California,  US"
RAM 4500,Pas de prix,Flatbed Trucks,2016,160001,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2005,279035,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2011,354572,"Phoenix, Arizona,  US"
International 7300,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Phoenix, Arizona,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2018,99650,"Perris, California,  US"
Freightliner M2,Pas de prix,Box trucks,2016,223968,"Las Vegas, Nevada,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,92586,"Chehalis, Washington,  US"
Ford F-350,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Chehalis, Washington,  US"
International 4300,Pas de prix,Reefer Trucks,2018,410117,"Morris, Illinois,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2015,Non spécifié,"Morris, Illinois,  US"
Freightliner M2 106,Pas de prix,Box trucks,2020,Non spécifié,"Morris, Illinois,  US"
International 2674,Pas de prix,Boom / Crane / Bucket Trucks,1999,36920,"Morris, Illinois,  US"
Chevrolet Express G3500,Pas de prix,Reefer Trucks,2024,45993,"Morris, Illinois,  US"
International 4300,Pas de prix,Box trucks,2019,225318,"North East, Maryland,  US"
Kenworth T370,Pas de prix,Reefer Trucks,2017,364113,"North East, Maryland,  US"
Dodge Ram 3500,Pas de prix,Flatbed Trucks,2012,99521,"North East, Maryland,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,124462,"North East, Maryland,  US"
Peterbilt 337,Pas de prix,Box trucks,2014,451809,"Lake Worth, Texas,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2018,164227,"Lake Worth, Texas,  US"
Mack GU813,Pas de prix,Dump Trucks,2015,204436,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,Non spécifié,"Lake Worth, Texas,  US"
CAT CT660S,Pas de prix,Dump Trucks,2012,279981,"North East, Maryland,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2020,197495,"Newnan, Georgia,  US"
RAM 2500,Pas de prix,Flatbed Trucks,2022,104962,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2016,453160,"Newnan, Georgia,  US"
International MV607,Pas de prix,Reefer Trucks,2023,314501,"Newnan, Georgia,  US"
Hino 268,Pas de prix,Box trucks,2019,184023,"Newnan, Georgia,  US"
Sterling Acterra,Pas de prix,Dump Trucks,2005,293362,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2018,202337,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2015,605747,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,585466,"Lake Worth, Texas,  US"
Isuzu NPR,Pas de prix,Reefer Trucks,2021,303828,"Davenport, Florida,  US"
Freightliner 114SD,Pas de prix,Car Haulers,2015,715010,"Lake Worth, Texas,  US"
International CF600,Pas de prix,Box trucks,2008,Non spécifié,"Lake Worth, Texas,  US"
GMC Sierra 3500HD,Pas de prix,Flatbed Trucks,2015,266519,"Lake Worth, Texas,  US"
Peterbilt 365,"40,000 USD",Car Haulers,2012,Non spécifié,"Lake Worth, Texas,  US"
Ford E-450,"25,000 USD",Flatbed Trucks,2019,Non spécifié,"Lake Worth, Texas,  US"
Freightliner M2 106,"20,000 USD",Flatbed Trucks,2015,Non spécifié,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2012,82660,"Phoenix, Arizona,  US"
Hino 268,Pas de prix,Box trucks,2015,481697,"Perris, California,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2011,354572,"Phoenix, Arizona,  US"
RAM 4500,Pas de prix,Flatbed Trucks,2016,160001,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2005,279035,"Phoenix, Arizona,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2018,99650,"Perris, California,  US"
International 7300,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Phoenix, Arizona,  US"
Freightliner M2,Pas de prix,Box trucks,2016,223968,"Las Vegas, Nevada,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,92586,"Chehalis, Washington,  US"
Ford F-350,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Chehalis, Washington,  US"
International 4300,Pas de prix,Reefer Trucks,2018,410117,"Morris, Illinois,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2015,Non spécifié,"Morris, Illinois,  US"
Freightliner M2 106,Pas de prix,Box trucks,2020,Non spécifié,"Morris, Illinois,  US"
International 2674,Pas de prix,Boom / Crane / Bucket Trucks,1999,36920,"Morris, Illinois,  US"
Chevrolet Express G3500,Pas de prix,Reefer Trucks,2024,45993,"Morris, Illinois,  US"
International 4300,Pas de prix,Box trucks,2019,225318,"North East, Maryland,  US"
Kenworth T370,Pas de prix,Reefer Trucks,2017,364113,"North East, Maryland,  US"
Dodge Ram 3500,Pas de prix,Flatbed Trucks,2012,99521,"North East, Maryland,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,124462,"North East, Maryland,  US"
Peterbilt 337,Pas de prix,Box trucks,2014,451809,"Lake Worth, Texas,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2018,164227,"Lake Worth, Texas,  US"
Mack GU813,Pas de prix,Dump Trucks,2015,204436,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,Non spécifié,"Lake Worth, Texas,  US"
CAT CT660S,Pas de prix,Dump Trucks,2012,279981,"North East, Maryland,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2020,197495,"Newnan, Georgia,  US"
RAM 2500,Pas de prix,Flatbed Trucks,2022,104962,"Lake Worth, Texas,  US"
Hino 268,Pas de prix,Box trucks,2019,184023,"Newnan, Georgia,  US"
International MV607,Pas de prix,Reefer Trucks,2023,314501,"Newnan, Georgia,  US"
Volvo VAH,Pas de prix,Car Haulers,2016,453160,"Newnan, Georgia,  US"
Sterling Acterra,Pas de prix,Dump Trucks,2005,293362,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2018,202337,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2015,605747,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,585466,"Lake Worth, Texas,  US"
Isuzu NPR,Pas de prix,Reefer Trucks,2021,303828,"Davenport, Florida,  US"
Freightliner 114SD,Pas de prix,Car Haulers,2015,715010,"Lake Worth, Texas,  US"
GMC Sierra 3500HD,Pas de prix,Flatbed Trucks,2015,266519,"Lake Worth, Texas,  US"
International CF600,Pas de prix,Box trucks,2008,Non spécifié,"Lake Worth, Texas,  US"
Peterbilt 365,"40,000 USD",Car Haulers,2012,Non spécifié,"Lake Worth, Texas,  US"
Ford E-450,"25,000 USD",Flatbed Trucks,2019,Non spécifié,"Lake Worth, Texas,  US"
Freightliner M2 106,"20,000 USD",Flatbed Trucks,2015,Non spécifié,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2012,82660,"Phoenix, Arizona,  US"
Hino 268,Pas de prix,Box trucks,2015,481697,"Perris, California,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2011,354572,"Phoenix, Arizona,  US"
RAM 4500,Pas de prix,Flatbed Trucks,2016,160001,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2005,279035,"Phoenix, Arizona,  US"
International 7300,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Phoenix, Arizona,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2018,99650,"Perris, California,  US"
Freightliner M2,Pas de prix,Box trucks,2016,223968,"Las Vegas, Nevada,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,92586,"Chehalis, Washington,  US"
Ford F-350,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Chehalis, Washington,  US"
International 4300,Pas de prix,Reefer Trucks,2018,410117,"Morris, Illinois,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2015,Non spécifié,"Morris, Illinois,  US"
Freightliner M2 106,Pas de prix,Box trucks,2020,Non spécifié,"Morris, Illinois,  US"
International 2674,Pas de prix,Boom / Crane / Bucket Trucks,1999,36920,"Morris, Illinois,  US"
Chevrolet Express G3500,Pas de prix,Reefer Trucks,2024,45993,"Morris, Illinois,  US"
International 4300,Pas de prix,Box trucks,2019,225318,"North East, Maryland,  US"
Kenworth T370,Pas de prix,Reefer Trucks,2017,364113,"North East, Maryland,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,124462,"North East, Maryland,  US"
Dodge Ram 3500,Pas de prix,Flatbed Trucks,2012,99521,"North East, Maryland,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2018,164227,"Lake Worth, Texas,  US"
Mack GU813,Pas de prix,Dump Trucks,2015,204436,"Lake Worth, Texas,  US"
Peterbilt 337,Pas de prix,Box trucks,2014,451809,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,Non spécifié,"Lake Worth, Texas,  US"
CAT CT660S,Pas de prix,Dump Trucks,2012,279981,"North East, Maryland,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2020,197495,"Newnan, Georgia,  US"
RAM 2500,Pas de prix,Flatbed Trucks,2022,104962,"Lake Worth, Texas,  US"
Hino 268,Pas de prix,Box trucks,2019,184023,"Newnan, Georgia,  US"
International MV607,Pas de prix,Reefer Trucks,2023,314501,"Newnan, Georgia,  US"
Volvo VAH,Pas de prix,Car Haulers,2016,453160,"Newnan, Georgia,  US"
Sterling Acterra,Pas de prix,Dump Trucks,2005,293362,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2018,202337,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2015,605747,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,585466,"Lake Worth, Texas,  US"
Isuzu NPR,Pas de prix,Reefer Trucks,2021,303828,"Davenport, Florida,  US"
Freightliner 114SD,Pas de prix,Car Haulers,2015,715010,"Lake Worth, Texas,  US"
GMC Sierra 3500HD,Pas de prix,Flatbed Trucks,2015,266519,"Lake Worth, Texas,  US"
International CF600,Pas de prix,Box trucks,2008,Non spécifié,"Lake Worth, Texas,  US"
Peterbilt 365,"40,000 USD",Car Haulers,2012,Non spécifié,"Lake Worth, Texas,  US"
Ford E-450,"25,000 USD",Flatbed Trucks,2019,Non spécifié,"Lake Worth, Texas,  US"
Freightliner M2 106,"20,000 USD",Flatbed Trucks,2015,Non spécifié,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2012,82660,"Phoenix, Arizona,  US"
RAM 4500,Pas de prix,Flatbed Trucks,2016,160001,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2005,279035,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2011,354572,"Phoenix, Arizona,  US"
Hino 268,Pas de prix,Box trucks,2015,481697,"Perris, California,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2018,99650,"Perris, California,  US"
International 7300,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Phoenix, Arizona,  US"
Freightliner M2,Pas de prix,Box trucks,2016,223968,"Las Vegas, Nevada,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,92586,"Chehalis, Washington,  US"
Ford F-350,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Chehalis, Washington,  US"
International 4300,Pas de prix,Reefer Trucks,2018,410117,"Morris, Illinois,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2015,Non spécifié,"Morris, Illinois,  US"
Freightliner M2 106,Pas de prix,Box trucks,2020,Non spécifié,"Morris, Illinois,  US"
International 2674,Pas de prix,Boom / Crane / Bucket Trucks,1999,36920,"Morris, Illinois,  US"
Chevrolet Express G3500,Pas de prix,Reefer Trucks,2024,45993,"Morris, Illinois,  US"
International 4300,Pas de prix,Box trucks,2019,225318,"North East, Maryland,  US"
Kenworth T370,Pas de prix,Reefer Trucks,2017,364113,"North East, Maryland,  US"
Dodge Ram 3500,Pas de prix,Flatbed Trucks,2012,99521,"North East, Maryland,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,124462,"North East, Maryland,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2018,164227,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,Non spécifié,"Lake Worth, Texas,  US"
Peterbilt 337,Pas de prix,Box trucks,2014,451809,"Lake Worth, Texas,  US"
Mack GU813,Pas de prix,Dump Trucks,2015,204436,"Lake Worth, Texas,  US"
CAT CT660S,Pas de prix,Dump Trucks,2012,279981,"North East, Maryland,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2020,197495,"Newnan, Georgia,  US"
RAM 2500,Pas de prix,Flatbed Trucks,2022,104962,"Lake Worth, Texas,  US"
Hino 268,Pas de prix,Box trucks,2019,184023,"Newnan, Georgia,  US"
International MV607,Pas de prix,Reefer Trucks,2023,314501,"Newnan, Georgia,  US"
Volvo VAH,Pas de prix,Car Haulers,2016,453160,"Newnan, Georgia,  US"
Sterling Acterra,Pas de prix,Dump Trucks,2005,293362,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2018,202337,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2015,605747,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,585466,"Lake Worth, Texas,  US"
Isuzu NPR,Pas de prix,Reefer Trucks,2021,303828,"Davenport, Florida,  US"
Freightliner 114SD,Pas de prix,Car Haulers,2015,715010,"Lake Worth, Texas,  US"
GMC Sierra 3500HD,Pas de prix,Flatbed Trucks,2015,266519,"Lake Worth, Texas,  US"
International CF600,Pas de prix,Box trucks,2008,Non spécifié,"Lake Worth, Texas,  US"
Peterbilt 365,"40,000 USD",Car Haulers,2012,Non spécifié,"Lake Worth, Texas,  US"
Ford E-450,"25,000 USD",Flatbed Trucks,2019,Non spécifié,"Lake Worth, Texas,  US"
Freightliner M2 106,"20,000 USD",Flatbed Trucks,2015,Non spécifié,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2012,82660,"Phoenix, Arizona,  US"
RAM 4500,Pas de prix,Flatbed Trucks,2016,160001,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2005,279035,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2011,354572,"Phoenix, Arizona,  US"
Hino 268,Pas de prix,Box trucks,2015,481697,"Perris, California,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2018,99650,"Perris, California,  US"
International 7300,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Phoenix, Arizona,  US"
Freightliner M2,Pas de prix,Box trucks,2016,223968,"Las Vegas, Nevada,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,92586,"Chehalis, Washington,  US"
Ford F-350,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Chehalis, Washington,  US"
International 4300,Pas de prix,Reefer Trucks,2018,410117,"Morris, Illinois,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2015,Non spécifié,"Morris, Illinois,  US"
Freightliner M2 106,Pas de prix,Box trucks,2020,Non spécifié,"Morris, Illinois,  US"
International 2674,Pas de prix,Boom / Crane / Bucket Trucks,1999,36920,"Morris, Illinois,  US"
Chevrolet Express G3500,Pas de prix,Reefer Trucks,2024,45993,"Morris, Illinois,  US"
International 4300,Pas de prix,Box trucks,2019,225318,"North East, Maryland,  US"
Kenworth T370,Pas de prix,Reefer Trucks,2017,364113,"North East, Maryland,  US"
Dodge Ram 3500,Pas de prix,Flatbed Trucks,2012,99521,"North East, Maryland,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,124462,"North East, Maryland,  US"
Peterbilt 337,Pas de prix,Box trucks,2014,451809,"Lake Worth, Texas,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2018,164227,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,Non spécifié,"Lake Worth, Texas,  US"
Mack GU813,Pas de prix,Dump Trucks,2015,204436,"Lake Worth, Texas,  US"
CAT CT660S,Pas de prix,Dump Trucks,2012,279981,"North East, Maryland,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2020,197495,"Newnan, Georgia,  US"
RAM 2500,Pas de prix,Flatbed Trucks,2022,104962,"Lake Worth, Texas,  US"
Hino 268,Pas de prix,Box trucks,2019,184023,"Newnan, Georgia,  US"
International MV607,Pas de prix,Reefer Trucks,2023,314501,"Newnan, Georgia,  US"
Volvo VAH,Pas de prix,Car Haulers,2016,453160,"Newnan, Georgia,  US"
Sterling Acterra,Pas de prix,Dump Trucks,2005,293362,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2018,202337,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2015,605747,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,585466,"Lake Worth, Texas,  US"
Isuzu NPR,Pas de prix,Reefer Trucks,2021,303828,"Davenport, Florida,  US"
Freightliner 114SD,Pas de prix,Car Haulers,2015,715010,"Lake Worth, Texas,  US"
GMC Sierra 3500HD,Pas de prix,Flatbed Trucks,2015,266519,"Lake Worth, Texas,  US"
International CF600,Pas de prix,Box trucks,2008,Non spécifié,"Lake Worth, Texas,  US"
Peterbilt 365,"40,000 USD",Car Haulers,2012,Non spécifié,"Lake Worth, Texas,  US"
Ford E-450,"25,000 USD",Flatbed Trucks,2019,Non spécifié,"Lake Worth, Texas,  US"
Freightliner M2 106,"20,000 USD",Flatbed Trucks,2015,Non spécifié,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2012,82660,"Phoenix, Arizona,  US"
Hino 268,Pas de prix,Box trucks,2015,481697,"Perris, California,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2011,354572,"Phoenix, Arizona,  US"
RAM 4500,Pas de prix,Flatbed Trucks,2016,160001,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2005,279035,"Phoenix, Arizona,  US"
International 7300,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Phoenix, Arizona,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2018,99650,"Perris, California,  US"
Freightliner M2,Pas de prix,Box trucks,2016,223968,"Las Vegas, Nevada,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,92586,"Chehalis, Washington,  US"
Ford F-350,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Chehalis, Washington,  US"
International 4300,Pas de prix,Reefer Trucks,2018,410117,"Morris, Illinois,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2015,Non spécifié,"Morris, Illinois,  US"
Freightliner M2 106,Pas de prix,Box trucks,2020,Non spécifié,"Morris, Illinois,  US"
International 2674,Pas de prix,Boom / Crane / Bucket Trucks,1999,36920,"Morris, Illinois,  US"
Chevrolet Express G3500,Pas de prix,Reefer Trucks,2024,45993,"Morris, Illinois,  US"
International 4300,Pas de prix,Box trucks,2019,225318,"North East, Maryland,  US"
Kenworth T370,Pas de prix,Reefer Trucks,2017,364113,"North East, Maryland,  US"
Hino 195,Pas de prix,Reefer Trucks,2020,124462,"North East, Maryland,  US"
Dodge Ram 3500,Pas de prix,Flatbed Trucks,2012,99521,"North East, Maryland,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2018,164227,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,Non spécifié,"Lake Worth, Texas,  US"
Peterbilt 337,Pas de prix,Box trucks,2014,451809,"Lake Worth, Texas,  US"
Mack GU813,Pas de prix,Dump Trucks,2015,204436,"Lake Worth, Texas,  US"
CAT CT660S,Pas de prix,Dump Trucks,2012,279981,"North East, Maryland,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2020,197495,"Newnan, Georgia,  US"
RAM 2500,Pas de prix,Flatbed Trucks,2022,104962,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2016,453160,"Newnan, Georgia,  US"
International MV607,Pas de prix,Reefer Trucks,2023,314501,"Newnan, Georgia,  US"
Hino 268,Pas de prix,Box trucks,2019,184023,"Newnan, Georgia,  US"
Sterling Acterra,Pas de prix,Dump Trucks,2005,293362,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2018,202337,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2015,605747,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,585466,"Lake Worth, Texas,  US"
Isuzu NPR,Pas de prix,Reefer Trucks,2021,303828,"Davenport, Florida,  US"
Freightliner 114SD,Pas de prix,Car Haulers,2015,715010,"Lake Worth, Texas,  US"
International CF600,Pas de prix,Box trucks,2008,Non spécifié,"Lake Worth, Texas,  US"
GMC Sierra 3500HD,Pas de prix,Flatbed Trucks,2015,266519,"Lake Worth, Texas,  US"
Peterbilt 365,"40,000 USD",Car Haulers,2012,Non spécifié,"Lake Worth, Texas,  US"
Ford E-450,"25,000 USD",Flatbed Trucks,2019,Non spécifié,"Lake Worth, Texas,  US"
Freightliner M2 106,"20,000 USD",Flatbed Trucks,2015,Non spécifié,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2012,82660,"Phoenix, Arizona,  US"
Hino 268,Pas de prix,Box trucks,2015,481697,"Perris, California,  US"
RAM 4500,Pas de prix,Flatbed Trucks,2016,160001,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2005,279035,"Phoenix, Arizona,  US"
Ford F-450,Pas de prix,Flatbed Trucks,2011,354572,"Phoenix, Arizona,  US"
International 7300,Pas de prix,Flatbed Trucks,2013,Non spécifié,"Phoenix, Arizona,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2018,99650,"Perris, California,  US"
Freightliner M2,Pas de prix,Box trucks,2016,223968,"Las Vegas, Nevada,  US"
